,power,speed,sa_value
0,140.0,0.4,46.225
1,140.0,0.6,61.357
2,140.0,0.8,81.738
3,140.0,1.0,60.799
4,140.0,1.2,47.775
5,160.0,0.4,27.937
6,160.0,0.6,31.517
7,160.0,0.8,51.685
8,160.0,1.0,42.731
9,160.0,1.2,39.483
10,180.0,0.4,33.564
11,180.0,0.6,32.843
12,180.0,0.8,28.237
13,180.0,1.0,38.244
14,180.0,1.2,41.318
15,200.0,0.4,20.207
16,200.0,0.6,20.991
17,200.0,0.8,25.976
18,200.0,1.0,53.561
19,200.0,1.2,47.638
20,220.0,0.4,14.358
21,220.0,0.6,23.898
22,220.0,0.8,47.654
23,220.0,1.0,43.694
24,220.0,1.2,45.257
25,240.0,0.4,19.76
26,240.0,0.6,30.26
27,240.0,0.8,25.629
28,240.0,1.0,35.311
29,240.0,1.2,44.007
30,260.0,0.4,16.338
31,260.0,0.6,17.23
32,260.0,0.8,27.331
33,260.0,1.0,28.754
34,260.0,1.2,37.256
35,280.0,0.4,14.683
36,280.0,0.6,23.411
37,280.0,0.8,19.92
38,280.0,1.0,29.261
39,280.0,1.2,65.34
40,300.0,0.4,18.266
41,300.0,0.6,15.576
42,300.0,0.8,27.539
43,300.0,1.0,18.028
44,300.0,1.2,23.361
45,320.0,0.4,14.617
46,320.0,0.6,28.089
47,320.0,0.8,29.049
48,320.0,1.0,20.875
49,320.0,1.2,36.103
50,340.0,0.4,12.983
51,340.0,0.6,21.294
52,340.0,0.8,30.445
53,340.0,1.0,25.821
54,340.0,1.2,27.342
55,360.0,0.4,11.67
56,360.0,0.6,18.904
57,360.0,0.8,16.04
58,360.0,1.0,18.489
59,360.0,1.2,20.081
60,380.0,0.4,12.427
61,380.0,0.6,15.537
62,380.0,0.8,12.795
63,380.0,1.0,26.029
64,380.0,1.2,24.933
